X,Y,ogc_fid,fid,osm_id,code,fclass,name
15.4970629,50.8266625,84,99,"907975411",5602,railway_halt,Szklarska Poręba Huta
17.2358061,51.0496835,85,100,"967207655",5601,railway_station,Czernica Wrocławska
17.1800256,51.0875528,86,101,"967207656",5602,railway_halt,Dobrzykowice Wrocławskie
17.2508318,51.0798631,87,102,"967207673",5602,railway_halt,Nadolice Wielkie
17.4570716,51.0118022,88,103,"967301818",5602,railway_halt,Minkowice Oławskie
17.4040382,51.0210942,89,104,"967301950",5602,railway_halt,Kopalina
16.7250326,51.2669629,90,106,"1005966746",5601,railway_station,Brzeg Dolny
16.7007723,50.9078368,91,107,"1015548683",5601,railway_station,Sobótka Zachodnia
15.719455,50.9005971,92,108,"1038540783",5601,railway_station,Jelenia Góra Zachodnia
15.5569553,50.8483578,93,109,"1038553441",5602,railway_halt,Szklarska Poręba Dolna
15.5399788,50.8384681,94,110,"1048964566",5602,railway_halt,Szklarska Poręba Średnia
15.9376619,51.2776886,95,111,"1089058672",5601,railway_station,Chojnów
17.0846248,51.0642794,96,112,"1091838853",5602,railway_halt,Wrocław Brochów
17.0941302,51.2760267,97,113,"1112631418",5602,railway_halt,Brochocin Trzebnicki
16.8489434,51.3870757,98,114,"1154540415",5601,railway_station,Skokowa
17.0989112,51.2552194,99,115,"1272881984",5602,railway_halt,Pierwoszów Miłocin
16.8722387,51.5446015,100,116,"1278381123",5602,railway_halt,Korzeńsko
16.8902639,51.5125596,101,117,"1278381140",5602,railway_halt,Garbce
16.5054444,50.5263559,102,118,"1280940818",5601,railway_station,Ścinawka Średnia
16.3254909,50.4193723,103,119,"1280966256",5602,railway_halt,Kulin Kłodzki
15.5681957,50.8600483,104,120,"1281264800",5602,railway_halt,Górzyniec
16.6748675,51.2972667,105,121,"1327917491",5602,railway_halt,Łososiowice
16.2696123,51.5057432,106,122,"1397290730",5602,railway_halt,Rudna Miasto
17.1185445,51.150452,107,123,"1401192473",5601,railway_station,Wrocław Psie Pole
17.3689153,51.2300777,108,124,"1420388750",5602,railway_halt,Dąbrowa Oleśnicka
15.5659104,50.9139896,109,125,"1492960330",5601,railway_station,Stara Kamienica
17.5155391,50.9939882,110,126,"1508746056",5601,railway_station,Biskupice Oławskie
17.3454105,51.037022,111,127,"1508748545",5601,railway_station,Jelcz-Laskowice
